image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
7470, 145.22930121421814, 1.0466334819793701, 482582, 393569, 876152, 139, 0.07473288246828605, 99956, 1943.3119186303063, 1798.0826174160882, 0.000605829625933918
7524, 146.2728669643402, 1.0435657501220703, 482096, 391756, 873852, 140, 0.07527312017287606, 99956, 1943.2284277362562, 1796.955560771916, 0.0006268102662556618
7578, 147.32179164886475, 1.0489246845245361, 481759, 389959, 871718, 141, 0.07581335787746608, 99956, 1943.2168126225818, 1795.895020973717, 0.0005901869925728498
7632, 148.37493777275085, 1.0531461238861084, 481289, 388249, 869538, 142, 0.07635359558205611, 99956, 1943.2606498968926, 1794.8857121241417, 0.0005620088244512322
7686, 149.4237835407257, 1.0488457679748535, 480642, 386492, 867134, 143, 0.07689383328664612, 99956, 1943.2479453027297, 1793.824161762004, 0.00059143061586997
7740, 150.47227001190186, 1.0484864711761475, 480015, 384757, 864771, 144, 0.07743407099123614, 99956, 1943.2307779469847, 1792.758507935083, 0.0005940681643369361
7794, 151.52178192138672, 1.0495119094848633, 479539, 383074, 862613, 145, 0.07797430869582617, 99956, 1943.2269994526725, 1791.7052175312858, 0.0005875249784814685
7848, 152.57172274589539, 1.049940824508667, 479010, 381382, 860392, 146, 0.07851454640041618, 99956, 1943.2287358293477, 1790.6570130834523, 0.0005850317549880302
7902, 153.64523434638977, 1.0735116004943848, 478892, 379744, 858636, 147, 0.0790547841050062, 99956, 1943.5286059640264, 1789.8833716176366, 0.0004320433562446935
7956, 154.70724034309387, 1.0620059967041016, 478433, 378160, 856593, 148, 0.07959502180959623, 99956, 1943.679853661927, 1788.972613318833, 0.0005088366724030902
8010, 155.77025890350342, 1.063018560409546, 477898, 376534, 854432, 149, 0.08013525951418624, 99956, 1943.841697747639, 1788.0714388441356, 0.0005037385525011873
8064, 156.82411003112793, 1.0538511276245117, 477476, 374969, 852445, 150, 0.08067549721877626, 99956, 1943.8877408570713, 1787.0636308259434, 0.0005636284973288275
8118, 157.87866806983948, 1.0545580387115479, 477119, 373403, 850522, 151, 0.08121573492336628, 99956, 1943.9418755344757, 1786.0632074646362, 0.0005598140682012698
8172, 158.93000626564026, 1.0513381958007812, 476745, 371848, 848593, 152, 0.0817559726279563, 99956, 1943.9559111953424, 1785.0259049297022, 0.0005807759381631916
8226, 159.98201060295105, 1.052004337310791, 476117, 370274, 846391, 153, 0.08229621033254632, 99956, 1943.9778570178185, 1783.9958464148674, 0.0005770552191931566
